id_no,title,title_href,logoimage_src,comp_name,comp_name_href,rating_href,main_2,review,expwdth,ni_job_tuple_icon,locwdth,job_desc,dot_gt,dot_gt_2,dot_gt_3,dot_gt_4,dot_gt_5,dot_gt_6,dot_gt_7,dot_gt_8,job_post_day
2980,Windchill Developer,https://www.naukri.com/job-listings-windchill-developer-capgemini-pune-maharashtra-bangalore-bengaluru-3-to-8-years-120124006616,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29315  Reviews,3-8 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/Bengaluru","Experience in Java, XML, XSL, JSP and HTML technologies Knowledge in Java JSP JavaScrip...",java,Windchill Customization,PLM,windchill development,Windchill Developer,Pdm Link,JSP,Javascript,15 Days Ago
2981,Embedded Developer- Automotive Domain-TataElxsi,https://www.naukri.com/job-listings-embedded-developer-automotive-domain-tataelxsi-tata-elxsi-pune-maharashtra-chennai-tamil-nadu-bengaluru-3-to-6-years-111223006294,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-6 Yrs,"50,000-3 Lacs PA","Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru",Experience : 3yr - 8 yr. .,Embedded C,Embedded Development,Automotive,Development,C,Embedded systems,Development,Development,26 Days Ago
2982,Data Modeller,https://www.naukri.com/job-listings-data-modeller-capgemini-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-6-to-11-years-110823009434,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29315  Reviews,6-11 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka",Experience and Skills. At least 5+ years of experience with relational modelling tools ...,Er Studio,data modeling,ERwin,Modeling,Studio,ER,Data,Modeler,19 Days Ago
2983,Cognizant Hiring For Java Developer,https://www.naukri.com/job-listings-cognizant-hiring-for-java-developer-cognizant-hyderabad-pune-maharashtra-bengaluru-4-to-9-years-110124010605,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,4-9 Yrs,Not disclosed,"Hyderabad, Pune, Maharashtra, Bengaluru","Role & responsibilities 1. Strong knowledge in Java, J2EE framework, JSP, Spring MVC/Sp...",Spring Boot,Microservices,Java,Java Application Support,For Java,Hiring,Application support,Development,19 Days Ago
2984,Cognizant Hiring For Quadient Inspire,https://www.naukri.com/job-listings-cognizant-hiring-for-quadient-inspire-cognizant-hyderabad-pune-maharashtra-bengaluru-8-to-13-years-110124010522,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,8-13 Yrs,Not disclosed,"Hyderabad, Pune, Maharashtra, Bengaluru","Experience in development of rules, scripts, data transformations, other ICM, Automatio...",inspire product suite,Quadient Inspire,Development,Hiring,Python,Development,Development,Development,19 Days Ago
2985,Cognizant Hiring For OpenText xPression,https://www.naukri.com/job-listings-cognizant-hiring-for-opentext-xpression-cognizant-hyderabad-pune-maharashtra-bengaluru-8-to-13-years-110124010492,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,8-13 Yrs,Not disclosed,"Hyderabad, Pune, Maharashtra, Bengaluru",Open text/OT/EMC xPression ??Strong knowledge and previous industry experience with xPr...,opentext,OT,EMS,Opentext Exstream,Hiring,Xpression,Development,Development,19 Days Ago
2986,Cognizant Hiring For Streamserve Engineers,https://www.naukri.com/job-listings-cognizant-hiring-for-streamserve-engineers-cognizant-hyderabad-pune-maharashtra-bengaluru-3-to-5-years-110124010468,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,3-5 Yrs,Not disclosed,"Hyderabad, Pune, Maharashtra, Bengaluru","Role & responsibilities Work on Story teller, XML validation, Design Center, Control ce...",design center,Control Center,Xlm,OT exstream,Design,Center,Control,Streamserve,19 Days Ago
2987,Cognizant Hiring For Captiva Developer,https://www.naukri.com/job-listings-cognizant-hiring-for-captiva-developer-cognizant-pune-maharashtra-bangalore-rural-karnataka-chennai-tamil-nadu-8-to-13-years-110124008877,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,8-13 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore Rural, Karnataka, Chennai, Tamil Nadu",Captiva Developer Having exp in Captiva products 7.7 and above. ??andidate must have ex...,Captiva,c#,.net,opentext,Hiring,Development,Development,Development,19 Days Ago
2988,Java Microservice Developer,https://www.naukri.com/job-listings-java-microservice-developer-hcltech-noida-uttar-pradesh-pune-maharashtra-bengaluru-karnataka-3-to-8-years-110124007774,https://img.naukimg.com/logo_images/groups/v1/194354.gif,HCLTech,https://www.naukri.com/hcltech-jobs-careers-460,https://www.ambitionbox.com/reviews/hcl-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,28116  Reviews,3-8 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Bengaluru, Karnataka",HCL is hiring for JAVA Microservices role for Noida/Bangalore/ HYD/ Chennai/ Pune/ Mumb...,core java,springboot,API Standards,spring cloud,Cassandra,j2ee,Apache Camel,MongoDB,19 Days Ago
2989,CockroachDB Developer,https://www.naukri.com/job-listings-cockroachdb-developer-infosys-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-5-to-8-years-110124004326,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,5-8 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka","Analytical abilities, Strong Technical Skills, Good communication skills Good understan...",cockroachDB,Oracle SQL,MongoDB,Development,SQL,Oracle,Development,Development,20 Days Ago
2990,Datastage Developer,https://www.naukri.com/job-listings-datastage-developer-infosys-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-3-to-8-years-110124004280,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,3-8 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka","Analytical abilities, Strong Technical Skills, Good communication skills Good understan...",Datastage,Oracle SQL,Ibm Datastage,Unix Shell Scripting,Oracle,Shell scripting,Unix,SQL,20 Days Ago
2991,Teradata Developer,https://www.naukri.com/job-listings-teradata-developer-infosys-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-3-to-5-years-110124004261,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,3-5 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka","Analytical abilities, Strong Technical Skills, Good communication skills Good understan...",Teradata,Unix Shell Scripting,Oracle 11G,Oracle,Shell scripting,Unix,Scripting,Development,20 Days Ago
2992,Informatica Developer,https://www.naukri.com/job-listings-informatica-developer-infosys-pune-maharashtra-chennai-bengaluru-3-to-8-years-110124004256,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,3-8 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Bengaluru","Analytical abilities, Strong Technical Skills, Good communication skills Good understan...",Informatica,Iics,Oracle SQL,Unix Scripting,Informatica Powercenter,Oracle,Unix,SQL,20 Days Ago
2993,TATA Elxsi | BSP Developers,https://www.naukri.com/job-listings-tata-elxsi-bsp-developers-tata-elxsi-pune-maharashtra-chennai-tamil-nadu-bangalore-bengaluru-karnataka-4-to-9-years-101123006197,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,4-9 Yrs,10-20 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Experience: 3 - 14 years . Qualification: BE / BTech / MCA / MSc / ME / MTech . Experie...,Embedded C,Bootloader,C++,Board Bringup,Board Support Package,Kernel,Linux Device Drivers,Development,28 Days Ago
2994,"TATA Elxsi | C++, Linux/QNX Developers",https://www.naukri.com/job-listings-tata-elxsi-c-linux-qnx-developers-tata-elxsi-pune-maharashtra-chennai-tamil-nadu-bangalore-bengaluru-karnataka-3-to-8-years-101123006130,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-8 Yrs,10-20 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka","JD - C++, LINUX/QNX Developer (Infotainment Middleware)We are looking for experienced S...",Automotive Infotainment,C++,Bluetooth,Linux,QNX,Audio,Infotainment,Automotive,28 Days Ago
2995,Autosar/Automotive Embedded Job opening at Tata Elxsi,https://www.naukri.com/job-listings-autosar-automotive-embedded-opening-at-tata-elxsi-tata-elxsi-pune-chennai-bangalore-bengaluru-3-to-8-years-100823005355,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-8 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru","Dear Candidate,  We have open positions for Autosar/Embedded requirements across locat...",embedded c,Embedded Software,Automotive Embedded Systems,Mcal,Davinci,Embedded Development,Automotive,autosar,26 Days Ago
2996,Mainframe Tester,https://www.naukri.com/job-listings-mainframe-tester-cognizant-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-3-to-8-years-100124005415,https://img.naukimg.com/logo_images/groups/v1/4156.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,3-8 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka","Good Hands-on knowledge in JCL (Job Modification, Batch Cycle execution and Validation...",Mainframes,VSAM,DB2,Software testing,Mainframe testing,DBMS,Development,Development,21 Days Ago
2997,Java Developer,https://www.naukri.com/job-listings-java-developer-cognizant-pune-chennai-bangalore-bengaluru-4-to-9-years-090823008177,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru","Role & responsibilities Skills Required : Java, Springboot, MicroservicesExperience Lev...",Java,Spring Boot,Microservices,Spring,Java Development,Boot,Development,Development,17 Days Ago
2998,Job opportunity For Java Architect,https://www.naukri.com/job-listings-opportunity-for-java-architect-cognizant-pune-maharashtra-chennai-bengaluru-10-to-15-years-090124011307,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,10-15 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bengaluru",Job Opportunity for Java Architect.Greetings from Cognizant!!!Cognizant is hiring for J...,Java,Java Architecture,Java Architect,Springboot,architect,Spring Framework,AWS,Architecture,21 Days Ago
2999,.NET Fullstack Developer,https://www.naukri.com/job-listings-net-fullstack-developer-tech-mahindra-pune-chennai-bengaluru-4-to-7-years-090124008334,https://www.naukri.com/hotjobs/images/v3/TechM_Feb23.gif,Tech Mahindra,https://www.naukri.com/tech-mahindra-jobs-careers-1066,https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,27288  Reviews,4-7 Yrs,12-16 Lacs PA,"Hybrid - Pune, Chennai, Bengaluru",NET Full stack: Candidate must be 3+ Years of ExperienceExperience of minimum 6 years i...,Angularjs,.Net Core,.NET,Angular,Dotnet,Development,Development,Development,21 Days Ago
3000,Cognizant is Hiring For Automation Testing,https://www.naukri.com/job-listings-cognizant-is-hiring-for-automation-testing-cognizant-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-3-to-6-years-090124008192,https://img.naukimg.com/logo_images/groups/v1/4156.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,3-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka","Requirements: . Bachelors degree in computer science, software development or a related...",Java,API Testing,Automation Testing,Selenium,rest api,Postman,Rest assured,Rest,21 Days Ago
3001,Embedded Engineer,https://www.naukri.com/job-listings-embedded-engineer-tata-elxsi-pune-maharashtra-chennai-tamil-nadu-bengaluru-3-to-8-years-090124007492,https://img.naukimg.com/logo_images/groups/v1/197174.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-8 Yrs,8-18 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru",Required Skills: . Embedded software development and testing Experience : 3 to 10 Yrs,Embedded C,RTOS,Microcontroller,32 Bit Microcontrollers,Embedded Development,ARM,Embedded systems,Development,21 Days Ago
3002,Webmethods Developer,https://www.naukri.com/job-listings-webmethods-developer-tata-elxsi-pune-chennai-bengaluru-6-to-11-years-090124006885,https://img.naukimg.com/logo_images/groups/v1/197174.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,6-11 Yrs,5-12 Lacs PA,"Pune, Chennai, Bengaluru","Webmethods developer- Integration server, Designer, MWS, Trading network, BPM, JDBC, We...",Webmethods,Broker,MWS,Integration Server,Trading Networks,BPM,Trading,Broking,21 Days Ago
3003,Embedded Autosar Developer - Tata Elxsi,https://www.naukri.com/job-listings-embedded-autosar-developer-tata-elxsi-tata-elxsi-pune-maharashtra-chennai-tamil-nadu-bangalore-bengaluru-3-to-8-years-081123007704,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-8 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/Bengaluru","Hi, We Tata Elxsi is Hiring !!!Autosar DeveloperExperience : 3 yr to 9 yrsLocations : C...",AUTOSAR,Embedded C,Automotive,C,Development,Embedded development,Embedded systems,Development,6 Days Ago
3004,"ServiceNow Developer, AVP",https://www.naukri.com/job-listings-servicenow-developer-avp-deutsche-bank-ag-pune-bangalore-bengaluru-8-to-13-years-080124900865,https://img.naukimg.com/logo_images/groups/v1/468918.gif,Deutsche Bank,https://www.naukri.com/deutsche-bank-jobs-careers-39012,https://www.ambitionbox.com/reviews/deutsche-bank-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2798  Reviews,8-13 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",The ServiceNow Developer role is responsible for configuring and customizing the Servic...,ServiceNow,ServiceNow development,IRM module,UI Pages,UI Scripts,Client Script,IT Service Management,Business Rules,23 Days Ago
3005,Azure Developer,https://www.naukri.com/job-listings-azure-developer-cognizant-hyderabad-telangana-pune-maharashtra-chennai-tamil-nadu-3-to-8-years-080124007009,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,3-8 Yrs,Not disclosed,"Hyderabad, Telangana, Pune, Maharashtra, Chennai, Tamil Nadu","Azure Certified Developer with deep azure cloud architecture, design and development sk...",Azure Paas,Azure Developer,.net,Web Api,Azure Service Bus,Net Development,Azure Logic Apps,PAAS,22 Days Ago
3006,Opening For JAVA 11 Developer and Angular- 6+ Years Experience,https://www.naukri.com/job-listings-opening-for-java-11-developer-and-angular-6-years-experience-capgemini-pune-maharashtra-bangalore-bengaluru-karnataka-6-to-11-years-080124005727,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29315  Reviews,6-11 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka","Mandatory - JAVA 11, Spring boot, Microservices, Angular 11+ or (7 or 8 and above versi...",Java 11,Angular,Spring Boot,Java Fullstack,Microservices,Bootstrap,For Java,Boot,21 Days Ago
3007,C++ Developer(Automotive Domain),https://www.naukri.com/job-listings-c-developer-automotive-domain-tata-elxsi-pune-maharashtra-bangalore-rural-karnataka-chennai-tamil-nadu-3-to-6-years-080124005369,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Chennai, Tamil Nadu","Role : C++ DeveloperExperience : 3yr to 6yrsSkills : C++ Development , Automotive Domai...",Embedded C++,C++,Automotive,Embedded systems,DNS,Development,Development,Development,22 Days Ago
3008,Infotainment Validation Engineer,https://www.naukri.com/job-listings-infotainment-validation-engineer-tata-elxsi-pune-maharashtra-bangalore-rural-karnataka-3-to-6-years-080124005192,https://www.naukri.com/hotjobs/images/v3/TATA_Nov22.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka","Experience in usage of test and measuring equipment like signal generators, audio analy...",Infotainment,Validation Testing,Automotive,Data validation,Software testing,Development,Development,Development,22 Days Ago
3009,Azure Databricks,https://www.naukri.com/job-listings-azure-databricks-wipro-pune-chennai-bengaluru-5-to-10-years-080124002983,https://img.naukimg.com/logo_images/groups/v1/41608.gif,Wipro,https://www.naukri.com/wipro-jobs-careers-1384,https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,38535  Reviews,5-10 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",**Looking only for immediate - 30 Days joiners. . Data Engineer Who take the solution a...,Azure Databricks,SQL,Python,Microsoft Azure,Python,Development,Development,Development,22 Days Ago
3010,Salesforce Functional Testing ( PAN India),https://www.naukri.com/job-listings-salesforce-functional-testing-pan-india-cognizant-kolkata-west-bengal-pune-maharashtra-bangalore-rural-karnataka-10-to-15-years-080124001665,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,10-15 Yrs,Not disclosed,"Hybrid - Kolkata, West Bengal, Pune, Maharashtra, Bangalore Rural, Karnataka",Qualification: Bachelors in Engineering or equivalent Must Have Skills: At least 2 year...,Functional Testing,Salesforce,Sfdc Testing,Salesforce Testing,Pan,Software testing,Functional,SFDC,23 Days Ago
3011,Java Full Stack Developer,https://www.naukri.com/job-listings-java-full-stack-developer-tata-consultancy-services-tcs-hyderabad-pune-maharashtra-chennai-6-to-9-years-080124000711,https://www.naukri.com/hotjobs/images/v3/tcsl_nov13.gif,Tata Consultancy Services (TCS),https://www.naukri.com/tata-consultancy-services-tcs-jobs-careers-13542,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,72424  Reviews,6-9 Yrs,5.5-15.5 Lacs PA,"Hyderabad, Pune, Maharashtra, Chennai",At least 5+ years of hands-on experience in Java Spring Boot and microservices and Fron...,java,SpringBoot,Front end Frameworks,Front End,Spring JPA,Microservices,Java 8,Front,17 Days Ago
3012,"Automation test - 12 Jan 23 -  Pune, Chennai, Kolkata, Bangalore",https://www.naukri.com/job-listings-automation-test-12-jan-23-pune-chennai-kolkata-bangalore-cognizant-pune-chennai-bengaluru-3-to-6-years-060124004876,https://img.naukimg.com/logo_images/groups/v1/4156.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,3-6 Yrs,6-10 Lacs PA,"Pune, Chennai, Bengaluru",Experience - 3 to 6 years. Interview date - 12 Jan 24. .,java,selenium,API Testing,Automation Testing,Automation,API,Software testing,Development,24 Days Ago
3013,Api Automation Tester - Bangalore,https://www.naukri.com/job-listings-api-automation-tester-bangalore-cognizant-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-6-to-9-years-050124007340,https://img.naukimg.com/logo_images/groups/v1/4156.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,6-9 Yrs,12-16 Lacs PA,"Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka",Candidates should have strong experience in API automation ( RestAssured or any ) Exper...,Api Automation,Rest Assured,selenium,Software testing,API,Automation testing,Rest,API Testing,25 Days Ago
3014,Automation Testing,https://www.naukri.com/job-listings-automation-testing-cognizant-pune-maharashtra-bangalore-rural-karnataka-chennai-tamil-nadu-4-to-9-years-050124006965,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,4-9 Yrs,5-12 Lacs PA,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Chennai, Tamil Nadu","Dear Aspirants, Cognizant is hiring for Automation Tester !!Experience : 4 - 9 YearsNot...",Java,Rest Assured,Selenium,Automation Testing,Cucumber,Rest,Software testing,Automation,25 Days Ago
3015,Wipro || Opening For Data Modeler,https://www.naukri.com/job-listings-wipro-opening-for-data-modeler-wipro-pune-chennai-bengaluru-7-to-12-years-050124006931,https://img.naukimg.com/logo_images/groups/v1/41608.gif,Wipro,https://www.naukri.com/wipro-jobs-careers-1384,https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,38535  Reviews,7-12 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",Experience in at least one end-to-end implementations of Database in custom apps / DWH ...,Data Vault,Data Modeling,Data Warehousing,ERwin,Data Architecture,Modeling,Data,Vault,25 Days Ago
3016,Java Developer,https://www.naukri.com/job-listings-java-developer-cognizant-hyderabad-pune-chennai-4-to-6-years-050124006119,https://www.naukri.com/hotjobs/images/v3/cognizant_apr22.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,4-6 Yrs,6-14 Lacs PA,"Hybrid - Hyderabad, Pune, Chennai","Experience: 4 Years - 6 Years3+ years of experience in Java Development, . Extensive te...",Java,Spring Boot,Spring,Microservices,Development,Boot,Java Development,Development,26 Days Ago
3017,Automation Test Engineer,https://www.naukri.com/job-listings-automation-test-engineer-cognizant-pune-maharashtra-chennai-tamil-nadu-bengaluru-karnataka-3-to-6-years-050124004217,https://img.naukimg.com/logo_images/groups/v1/4156.gif,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,41267  Reviews,3-6 Yrs,6-9.5 Lacs PA,"Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Karnataka",Experience 3 to 6 years. Interview Date 12 Jan 24.,Java,Automation Test,API,Selenium,Automation,Automation testing,Software testing,Development,26 Days Ago
